id,Tiêu_đề,Giá,Khoảng_giá_min,Khoảng_giá_max,Mô_tả_chi_tiết,Thương_hiệu,Dòng_xe,Năm_đăng_ký,Số_Km_đã_đi,Loại_xe,Dung_tích_xe,Xuất_xứ,Phân_khúc_giá,cc_numeric,price_segment_code,age,clean_text,is_moi,is_do_xe,is_su_dung_nhieu,is_bao_duong,is_do_ben,is_phap_ly,cluster_id
4590,cần bán xe như hình ae cần liên hệ,40.0,40.0,40.0,M cần bán xe như hình nguyên rin chưa từng sủa chữa ae cần liên hệ,Brixton,Bx 150,2019,90000,Tay Côn/Moto,Không Biết Rõ,Nước Khác,Phổ Thông,137,1,6.0,m xe hình_nguyên rin sủa_chữa anh_em liên_hệ,0,0,0,0,0,0,1
4898,Mô tô,25.0,25.0,25.0,"❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
R15V3
Xe nguyên rin, thơm phức, giấy tờ hợp lệ.
Chia sẻ cho anh em đam mê mô tô
Giá quá quá hời anh em nào mua đi bán lại vẫn ổn! máy móc êm ru odo chỉ mới hơn 11ngàn cây
Bs Vũng Tàu",Cr&S,Dòng Khác,2020,11000,Tay Côn/Moto,100 - 175 Cc,Việt Nam,Phổ Thông,137,1,5.0,rv xe nguyên_rin thơm_phức giấy_tờ hợp_lệ anh_em đam_mê mô_tô giá hời anh_em mua đi_bán ổn máy_móc êm_ru odo ngàn bs vũng tàu,0,0,0,0,0,0,1
3036,"Bán xe tay ga vàng cam CRE@, 50cc , dk 2019",12.0,12.0,12.0,"2k6 đi du học cần pass lại 1 xe CRE@, tay ga , 50 cc màu vàng cam đẹp chạy êm , mượt rất phù hợp cho các bạn học PTTH , không lo phạm luật giao thông , chủ động thời gian không tốn tiền grap và ảnh huởng cha mẹ không phải đưa rước hàng ngày …",Cr&S,Dòng Khác,2019,10000,Tay Ga,50 - 100 Cc,Thái Lan,Phổ Thông,75,1,6.0,không đi du_học pass xe cre ga cc màu vàng cam_đẹp chạy êm_mượt học ptth không lo phạm_luật giao_thông chủ_động không tốn tiền grap ảnh_hưởng cha_mẹ không đưa_rước hàng,0,0,0,0,0,0,2
2570,cub50,6.5,6.36,7.47,"Cub 50 máy êm đầy đủ chức năng 
Giấy tờ đầy đủ",Daelim,Cub,2016,99999,Xe Số,Dưới 50 Cc,Đài Loan,Phổ Thông,40,1,9.0,cub máy êm đầy_đủ chức_năng giấy_tờ đầy_đủ,0,0,0,0,1,0,2
3845,Dọn kho,3.9,6.44,7.56,Hét đam mê bán lại cho các bác về đi giá sinh viên. Xe 50 kg cần bằng,Daelim,Cub,2020,20000,Xe Số,Dưới 50 Cc,Nước Khác,Phổ Thông,40,1,5.0,hét đam_mê đi giá sinh_viên xe không,0,0,0,0,0,0,2
2170,xe DAELIM,28.0,10.46,12.29,"xe chính chủ kí giấy mua bán hoặc rút gốc đều đc 
Máy êm xe gia đình đi 
Liên hệ chính chủ ***",Daelim,Dòng Khác,2021,47625,Tay Côn/Moto,100 - 175 Cc,Hàn Quốc,Phổ Thông,137,1,4.0,xe chủ_kí giấy mua_bán rút gốc máy êm xe gia_đình đi liên_hệ chủ,0,0,0,0,1,0,1
4707,DAELIM MAGMA 125 SIÊU ĐẸP,12.0,12.0,12.0,"- Do không có thời gian chạy vì hầu hết làm việc ở công ty, nên xe đang cần chủ mới chăm em nó. Anh em nào thật sự đam mê muốn trải nghiệm cứ đến trực tiếp xem xe em giảm giá thêm vì cũng không có đủ chỗ để xe.

Xem xe ở quận Tân Phú, anh em mua xe em giới thiệu nơi bảo dưỡng riêng chiếc này không mất phí bảo dưỡng.",Daelim,Dòng Khác,2001,10000,Tay Côn/Moto,100 - 175 Cc,Hàn Quốc,Phổ Thông,137,1,24.0,không chạy làm_việc công_ty xe chủ chăm_em anh_em đam_mê trải_nghiệm xe giảm_giá z không chỗ xe xe tân_phú anh_em mua xe giới_thiệu bảo_dưỡng không mất_phí bảo_dưỡng,0,0,0,0,0,0,1
5836,cần bán moto daelim 125cc như hình,8.6,1.23,1.44,"Xe máy móc ok
Xe sao hình vậy
Xe nhà đi. Chật chỗ nên thanh lý. Chở ai có nhu cầu. Cphe dạo phố
Xe giấy tờ đầy đủ
Fix nhanh gọn lẹ anh em có thiện chí
Xem xe thủ đức",Daelim,Dòng Khác,2000,30000,Tay Côn/Moto,100 - 175 Cc,Nhật Bản,Phổ Thông,137,1,25.0,xe_máy_móc ok xe hình xe đi chật_chỗ thanh_lý chở nhu_cầu cphe dạo phố xe giấy_tờ đầy_đủ fix gọn_lẹ anh_em thiện_chí xe thủ_đức,0,0,0,0,0,0,1
2913,drem Hàn Quốc giấy tờ đầy đủ,3.5,2.3,2.7,"Để hoài không sử dụng,cần bán cho anh chị cần xe đi làm. Máy móc nổ êm, mạnh,dàn chân cứng cáp. Dàn áo có gãy pass đã cột kẽm lại. Bán rẻ cho anh chị mua về đi làm.",Daelim,Dòng Khác,2010,50000,Xe Số,50 - 100 Cc,Hàn Quốc,Phổ Thông,75,1,15.0,hoài không anh_chị xe đi máy_móc nổ êm dàn chân cứng_cáp dàn áo gãy pass cột kẽm rẻ anh_chị mua đi,0,0,0,0,1,0,2
3484,Cúp 50 dư dùng,5.8,3.59,4.21,Cần bán chiếc xe cúp 50cc. Xe còn đẹp.máy móc bao êm.điện đề đèn đầy đủ.xe biển số tỉnh.Chính chủ kí mua bán hay ủy quyền điều được.ae nào cần liên hệ qua số điện thoại nha,Daelim,Dòng Khác,2014,27085,Xe Số,Dưới 50 Cc,Hàn Quốc,Phổ Thông,40,1,11.0,xe cúp cc xe đẹp máy_móc bao êm_điện đề_đèn đầy_đủ xe biển tỉnh chủ_kí mua_bán ủy quyền anh_em liên_hệ điện_thoại nha,0,0,0,0,0,1,2
